customer_id,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,customer_phone,customer_since
C00001,Robert,robert1@email.com,Silver,1790.0,2023-10-14,LP,4391635626,2018-11-27
C00002,Robert,robert2@email.com,Silver,1853.0,2018-12-27,AR,1747001212,2018-12-03
C00003,Elizabeth,elizabeth3@email.com,Bronze,43.0,2025-11-06,NR,,2019-09-24
C00004,Barbara,barbara4@email.com,Bronze,371.0,2024-01-18,NR,2851912484,2018-04-20
C00005,Robert,robert5@email.com,Bronze,364.0,2020-11-15,NR,7316128383,2018-03-31
C00006,Ava,ava6@email.com,Bronze,9.0,2025-06-10,HC,7612375290,2020-01-23
C00007,Thomas,thomas7@email.com,Gold,4056.0,,HC,8933493647,2018-08-12
C00008,Barbara,barbara8@email.com,Bronze,405.0,2020-08-11,LP,2499111841,2019-01-15
C00009,Elijah,elijah9@email.com,Bronze,207.0,2025-05-02,LP,6923916715,2021-09-12
C00010,William,william10@email.com,Silver,1882.0,2018-08-10,AR,3874548668,2018-07-14
C00011,William,william11@email.com,Bronze,338.0,2019-11-13,AR,1403463987,2019-08-14
C00012,Charlotte,charlotte12@email.com,Bronze,103.0,2024-09-04,LP,2869569884,2019-04-12
C00013,John,john13@email.com,Bronze,447.0,2019-08-09,AR,1959090660,2018-07-11
C00014,Michael,michael14@email.com,Bronze,3.0,2023-06-29,NR,9792406225,2019-03-21
C00015,Thomas,thomas15@email.com,Bronze,157.0,2022-03-10,LP,7265623138,2021-04-28
C00016,Harper,harper16@email.com,Silver,797.0,2019-07-23,HS,6207720296,2018-03-23
C00017,John,john17@email.com,Bronze,476.0,2022-10-03,HS,,2020-09-04
C00018,David,david18@email.com,Silver,684.0,2024-11-03,HC,2612456980,2019-01-22
C00019,Sarah,sarah19@email.com,Platinum,19354.0,2023-11-13,NR,5131078038,2019-12-21
C00020,Olivia,olivia20@email.com,Silver,1223.0,2025-03-24,NR,7001458868,2019-10-22
C00021,Olivia,olivia21@email.com,Bronze,446.0,2022-02-20,AR,4624666931,2020-07-12
C00022,Linda,linda22@email.com,Silver,1062.0,2021-09-02,HC,,2019-12-04
