transaction_id,customer_id,store_id,transaction_date,total_amount,customer_phone
T000001,C01936,S003,2023-05-24 09:58:00,290.7,1343176194
T000002,C02344,S003,2024-12-18 15:30:00,91.42,1492594923
T000003,C04270,S002,2024-06-17 13:50:00,413.53,5119305270
T000004,C01672,S014,2023-01-05 11:56:00,54.56,7303882051
T000005,C04344,S005,2024-03-14 11:19:00,317.54,7842687331
T000006,C00447,S002,2024-12-28 12:32:00,461.07,
T000007,C03867,S004,2024-02-18 20:12:00,193.16,4025093714
T000008,C04234,S003,2025-06-23 17:34:00,74.68,6761138638
T000009,C00918,S005,2023-03-08 18:47:00,320.75,
T000010,C02121,S004,2023-12-08 08:33:00,305.72,9018622896
T000011,C00815,S003,2024/05/27,306.97,
T000012,C03503,S010,2023-10-25 21:49:00,44.48,unknown
T000013,C02649,S001,2024-12-18 19:16:00,93.63,2367261890
T000014,C03142,S012,2025-02-16 09:45:00,492.41,
T000015,C01000,S014,2023-09-01 20:25:00,21.15,9495224876
T000016,C01061,S002,2025-02-03 21:29:00,269.61,
T000017,C00221,S002,2023-10-11 20:56:00,356.22,2673307889
T000018,C01590,S005,2025-02-11 08:39:00,,8371394507
T000019,C02783,S015,2023-12-03 08:43:00,58.09,3175087199
T000020,C04289,S006,02-03-2025 12:58,476.63,4643629556
T000021,C03324,S014,2024-02-13 08:51:00,407.37,4797251512
T000022,C02142,S009,2025-06-11 15:16:00,104.78,5754606754
T000023,C04762,S010,2024-05-12 13:21:00,57.59,
T000024,C03570,S015,2023-08-22 20:49:00,131.86,8259772191
T000025,C04652,S015,2024-05-14 10:31:00,263.67,6784979945
T000026,C02614,S013,2024-02-28 21:22:00,277.69,2552735243
T000027,C01278,S004,2024/10/20,101.27,6819923671
T000028,C00267,S004,2024-01-15 13:40:00,448.1,8138328019
T000029,C03606,S015,2023-01-14 16:58:00,296.8,2813150374
T000030,C00578,S014,2024-11-26 12:20:00,431.12,5929124351
T000031,C01479,S008,2024-03-06 20:22:00,320.54,4057481628
T000032,C02637,S003,2024-09-08 12:23:00,331.98,unknown
T000033,C02796,S011,2024-12-28 18:57:00,353.19,5454834929
T000034,C02965,S005,2024-08-19 14:38:00,230.16,1957070279
T000035,,S004,2025-09-16 08:49:00,,
T000036,C01866,S002,2024-11-06 16:30:00,466.93,
T000037,C03052,S008,2024-07-25 13:52:00,,4579760988
T000038,C04851,S015,2023-10-21 21:05:00,314.07,6455638455
T000039,C03610,S005,2023-09-11 15:54:00,493.9,8904427462
T000040,C04620,S012,2024-11-08 16:13:00,239.28,7232390357
T000041,C03790,S008,2023-11-13 16:47:00,314.19,5789165940
T000042,C02928,S005,2023-06-28 10:53:00,21.23,8042434696
T000043,C00973,S005,2024-04-18 19:00:00,388.16,4988118459
T000044,C03323,S005,2025-04-25 16:18:00,273.34,9251890157
T000045,C03081,S003,2023-11-19 10:19:00,339.2,2526458357
T000046,C02973,S009,2025-04-26 20:32:00,411.0,2352714586
T000047,C02433,S009,2025-05-23 20:12:00,408.74,unknown
T000048,C02621,S001,2023-10-31 20:18:00,177.98,8514656790
T000049,C01648,S005,2024-03-24 19:46:00,483.05,5231770542
T000050,C02566,S004,2023-01-08 21:24:00,406.23,2449274258
T000051,C01005,S011,2023-10-30 11:19:00,268.97,7816107595
T000052,C04018,S007,2025-09-12 14:05:00,363.25,5846632761
T000053,C00938,S005,2025-09-19 15:30:00,,6672336994
T000054,C00435,S012,2025-08-17 17:07:00,417.94,8409890863
T000055,C02147,S009,2024-01-12 14:06:00,195.37,9492551513
T000056,C03280,S011,2024-02-22 20:02:00,88.2,5786703792
T000057,C02156,S001,2023-02-27 18:39:00,91.48,
T000058,C01364,S004,2023-08-30 09:01:00,495.7,1445754973
T000059,C02775,S009,2024-04-16 17:42:00,205.81,4674780269
T000060,,S004,2024-08-04 17:07:00,294.93,
T000061,C04665,S009,2024-03-26 11:25:00,113.94,7171493496
T000062,C04620,S011,2024-05-22 10:48:00,496.47,7232390357
T000063,C02488,S014,2023-09-05 16:46:00,430.18,4197407068
T000064,C01619,S003,2024-11-29 11:24:00,135.74,9359661645
T000065,C03660,S012,2023-08-18 08:13:00,288.67,4343578563
T000066,C00196,S007,2025-07-19 21:05:00,114.15,1684644931
T000067,C02351,S003,2024-02-03 13:40:00,202.6,3375660000
T000068,C01660,S005,2023-08-28 14:32:00,418.21,5261040779
T000069,C04607,S014,2023-01-26 09:30:00,18.33,9025236705
T000070,C00064,S005,2024-12-10 09:15:00,314.14,
T000071,C02745,S002,2024-09-29 17:23:00,244.89,1599502645
T000072,C03686,S006,2023-02-24 11:50:00,193.27,2719228111
T000073,C02409,S008,2024-04-18 18:07:00,284.6,2523206903
T000074,C00438,S005,2024-09-26 08:28:00,299.07,3186160031
