transaction_id,customer_id,store_id,transaction_date,total_amount,customer_phone,rejection_reason
T000035,,S004,2025-09-16 08:49:00,,,Missing customer_id - cannot attribute transaction
T000060,,S004,2024-08-04 17:07:00,294.93,,Missing customer_id - cannot attribute transaction
T000075,,S002,2024-03-07 09:50:00,270.15,,Missing customer_id - cannot attribute transaction
T000079,,S002,2025-02-07 14:03:00,325.03,,Missing customer_id - cannot attribute transaction
T000088,,S012,2024-09-08 10:22:00,143.93,,Missing customer_id - cannot attribute transaction
T000099,,S007,2024-08-13 18:08:00,305.28,,Missing customer_id - cannot attribute transaction
T000103,,S011,2023-01-24 12:09:00,243.74,,Missing customer_id - cannot attribute transaction
T000113,,S011,2023-02-10 21:26:00,301.85,,Missing customer_id - cannot attribute transaction
T000127,,S011,17-02-2025 17:46,477.7,,Missing customer_id - cannot attribute transaction
T000178,,S013,2023-10-07 18:09:00,490.47,,Missing customer_id - cannot attribute transaction
T000191,,S002,2024-07-09 19:03:00,263.15,,Missing customer_id - cannot attribute transaction
T000232,,S003,2023-01-02 15:10:00,459.32,,Missing customer_id - cannot attribute transaction
T000317,,S003,2024-09-09 12:03:00,248.5,,Missing customer_id - cannot attribute transaction
T000367,,S013,2024-06-13 21:15:00,373.05,,Missing customer_id - cannot attribute transaction
T000378,,S001,2023-09-21 08:16:00,219.67,,Missing customer_id - cannot attribute transaction
T000425,,S002,2024/08/28,12.25,,Missing customer_id - cannot attribute transaction
T000431,,S004,2025-04-11 19:35:00,281.95,,Missing customer_id - cannot attribute transaction
T000465,,S001,2024-11-09 21:19:00,194.58,,Missing customer_id - cannot attribute transaction
T000494,,S013,2023-01-10 08:57:00,174.3,,Missing customer_id - cannot attribute transaction
T000546,,S011,2023-01-16 20:07:00,,,Missing customer_id - cannot attribute transaction
T000548,,S003,2024-03-24 19:35:00,405.19,,Missing customer_id - cannot attribute transaction
T000561,,S004,2024-05-24 16:48:00,492.83,,Missing customer_id - cannot attribute transaction
T000744,,S013,2024-01-06 14:10:00,113.79,,Missing customer_id - cannot attribute transaction
T000757,,S003,2025-07-19 16:13:00,455.28,,Missing customer_id - cannot attribute transaction
T000788,,S003,2023-12-31 09:49:00,312.52,,Missing customer_id - cannot attribute transaction
T000794,,S004,2023-07-23 12:12:00,29.88,,Missing customer_id - cannot attribute transaction
T000798,,S015,02-02-2025 12:11,315.55,,Missing customer_id - cannot attribute transaction
T000853,,S008,2024-09-12 13:27:00,69.41,,Missing customer_id - cannot attribute transaction
T000861,,S008,2025-06-13 08:38:00,49.67,,Missing customer_id - cannot attribute transaction
T000906,,S005,2025-04-01 13:12:00,305.9,,Missing customer_id - cannot attribute transaction
T000909,,S010,2023-08-07 20:05:00,368.67,,Missing customer_id - cannot attribute transaction
T000995,,S012,2024-09-24 12:40:00,21.9,,Missing customer_id - cannot attribute transaction
T001023,,S011,2025-07-25 12:49:00,421.68,,Missing customer_id - cannot attribute transaction
T001024,,S002,2024-08-13 13:23:00,141.79,,Missing customer_id - cannot attribute transaction
T001037,,S003,2024-07-07 21:40:00,407.47,,Missing customer_id - cannot attribute transaction
T001039,,S008,2024-08-05 13:25:00,235.32,,Missing customer_id - cannot attribute transaction
T001050,,S014,2025-01-04 13:16:00,51.49,,Missing customer_id - cannot attribute transaction
T001058,,S005,2025-03-08 21:21:00,446.9,,Missing customer_id - cannot attribute transaction
T001064,,S006,2023-05-07 20:56:00,446.68,,Missing customer_id - cannot attribute transaction
T001066,,S007,2024-06-23 11:58:00,495.38,,Missing customer_id - cannot attribute transaction
T001102,,S004,2023-01-05 15:28:00,135.24,,Missing customer_id - cannot attribute transaction
T001118,,S012,2025-08-28 09:19:00,453.76,,Missing customer_id - cannot attribute transaction
T001131,,S013,2024-07-29 18:11:00,150.25,,Missing customer_id - cannot attribute transaction
T001147,,S008,2024-03-31 09:08:00,131.16,,Missing customer_id - cannot attribute transaction
T001155,,S004,2023-03-19 15:06:00,32.71,,Missing customer_id - cannot attribute transaction
T001163,,S012,2023-03-15 20:08:00,470.07,,Missing customer_id - cannot attribute transaction
T001177,,S009,2023-06-11 13:34:00,386.69,,Missing customer_id - cannot attribute transaction
T001195,,S004,2025/03/14,32.4,,Missing customer_id - cannot attribute transaction
T001250,,S014,2025-07-13 19:12:00,178.2,,Missing customer_id - cannot attribute transaction
T001275,,S003,2025-04-02 11:18:00,111.79,,Missing customer_id - cannot attribute transaction
T001295,,S011,2024-02-10 17:37:00,269.39,,Missing customer_id - cannot attribute transaction
T001320,,S006,2024-04-26 12:40:00,18.04,,Missing customer_id - cannot attribute transaction
T001418,,S014,2023-09-12 15:50:00,200.33,,Missing customer_id - cannot attribute transaction
T001427,,S006,2025-01-21 13:40:00,484.29,,Missing customer_id - cannot attribute transaction
T001431,,S001,2023-10-05 17:55:00,215.72,,Missing customer_id - cannot attribute transaction
T001494,,S012,2023-01-05 15:30:00,187.67,,Missing customer_id - cannot attribute transaction
T001497,,S007,2024-06-20 10:22:00,293.86,,Missing customer_id - cannot attribute transaction
T001533,,S006,2024-01-18 12:46:00,28.61,,Missing customer_id - cannot attribute transaction
T001554,,S003,2024-03-02 13:27:00,197.14,,Missing customer_id - cannot attribute transaction
T001556,,S004,2025-07-13 12:23:00,410.26,,Missing customer_id - cannot attribute transaction
T001564,,S012,2023-05-30 20:24:00,286.22,,Missing customer_id - cannot attribute transaction
